MODEL                      ,CREATOR ,CONTEXT WINDOW ,INDEX Normalized avg ,BLENDED USD/1M Tokens ,MEDIAN Tokens/s ,MEDIAN First Chunk (s) ,FURTHER ANALYSIS
Llama 2 Chat 13B           ,        ,4k             ,                  36 ,$0.30                 ,           53.7 ,                  0.41 ,Model Providers
Llama 2 Chat 7B            ,        ,4k             ,                     ,$0.33                 ,          123.7 ,                  0.50 ,Model Providers
Gemma 7B                   ,        ,8k             ,                  33 ,$0.07                 ,          959.0 ,                  0.90 ,Model Providers
Gemini 1.0 Pro             ,        ,33k            ,                     ,$0.75                 ,           98.4 ,                  1.19 ,Model Providers
Claude 3 Sonnet            ,        ,200k           ,                  57 ,$6.00                 ,           54.1 ,                  0.97 ,Model Providers
Claude 2.1                 ,        ,200k           ,                     ,$12.00                ,           28.6 ,                  1.58 ,Model Providers
Claude Instant             ,        ,100k           ,                     ,$1.20                 ,           74.9 ,                  0.57 ,Model Providers
Claude 2.0                 ,        ,100k           ,                     ,$12.00                ,           31.4 ,                  1.05 ,Model Providers
Mistral Large              ,        ,33k            ,                  56 ,$6.00                 ,           33.8 ,                  0.61 ,Model Providers
Mistral Small (Feb '24)    ,        ,33k            ,                  50 ,$1.50                 ,           47.5 ,                  0.47 ,Model Providers
Mistral 7B                 ,        ,33k            ,                  24 ,$0.16                 ,          109.1 ,                  0.29 ,Model Providers
Codestral                  ,        ,33k            ,                     ,$0.30                 ,           48.7 ,                  0.45 ,Model Providers
Mistral Medium             ,        ,33k            ,                     ,$4.09                 ,           38.3 ,                  0.77 ,Model Providers
Command                    ,        ,4k             ,                  26 ,$1.44                 ,           22.0 ,                  0.52 ,Model Providers
Command Light              ,        ,4k             ,                  14 ,$0.38                 ,           34.7 ,                  0.54 ,Model Providers
OpenChat 3.5               ,        ,8k             ,                  43 ,$0.06                 ,           70.8 ,                  0.29 ,Model Providers
Jamba Instruct             ,        ,256k           ,                  28 ,$0.55                 ,           81.4 ,                  0.74 ,Model Providers
